personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1629477,Ionescu,NYL,12,357,reconstructed,143,184.1,110.2,12.349,per40min,9.207,28.03,TRUE,rotation
1643443,Fam,SEA,20,588.4,reconstructed,188,237.8,162.9,11.073,per40min,9.207,27.45,TRUE,rotation
1642777,Akoa Makani,PHX,14,338.6,reconstructed,94,142.4,105,12.406,per40min,9.207,27.07,FALSE,below threshold
201886,Bonner,PHX,25,664.5,reconstructed,209,250.7,179.8,10.822,per40min,9.207,26.83,TRUE,fringe
1643505,Nogic,PHX,16,322.5,reconstructed,119,158.7,99.8,12.378,per40min,9.207,25.56,TRUE,rotation
202664,Vandersloot,CHI,7,124.3,reconstructed,38,60.1,52.7,16.956,per40min,9.207,24.08,FALSE,below threshold
204322,Williams,CHI,24,409.2,reconstructed,109,155,117.9,11.526,per40min,9.207,23.71,TRUE,rotation
1630386,Kuier,DAL,21,355.6,reconstructed,91,121.7,105.1,11.823,per40min,9.207,23.25,FALSE,below threshold
1642307,Holmes,SEA,21,228.6,reconstructed,40,56.6,72.1,12.618,per40min,9.207,19.49,FALSE,below threshold
1642288,Jackson,CHI,4,118,reconstructed,60,77.7,46,15.596,per40min,9.207,18.84,FALSE,below threshold
1643447,Jaquez,CHI,20,451.6,reconstructed,142,189.9,122.3,10.832,per40min,9.207,18.35,TRUE,rotation
204468,Ayayi,PHX,19,320.6,reconstructed,90,145.3,91.5,11.417,per40min,9.207,17.71,FALSE,below threshold
1642815,Timpson,IND,23,317.6,reconstructed,53,77.8,90.2,11.359,per40min,9.207,17.09,FALSE,below threshold
1628242,Cannon,LAS,9,69.8,reconstructed,23,34.2,32.8,18.806,per40min,9.207,16.74,FALSE,below threshold
1642817,Van Lith,CON,11,173.1,reconstructed,62,77.5,55.2,12.752,per40min,9.207,15.34,FALSE,below threshold
1641656,Amihere,GSV,21,245.4,reconstructed,58,91.5,70.5,11.494,per40min,9.207,14.02,FALSE,below threshold
1629574,Yueru,DAL,16,142,reconstructed,38,55.1,46,12.96,per40min,9.207,13.32,FALSE,below threshold
203822,Gardner,NYL,23,340.8,reconstructed,84,112.2,91.3,10.716,per40min,9.207,12.86,FALSE,below threshold
1643506,Oblak,PDX,19,256.7,reconstructed,97,150.3,71.5,11.142,per40min,9.207,12.41,TRUE,rotation
1628508,Zandalasini,GSV,21,370.4,reconstructed,150,195.4,97.6,10.541,per40min,9.207,12.35,TRUE,fringe
1643436,Williams,PDX,21,238.7,reconstructed,58,84,67,11.227,per40min,9.207,12.05,FALSE,below threshold
1643495,Pissott,LVA,2,23.5,reconstructed,13,14,15.6,26.517,per40min,9.207,10.18,FALSE,below threshold
1642210,Vanloo,NYL,5,81.1,reconstructed,17,30.8,28.6,14.099,per40min,9.207,9.92,FALSE,below threshold
1630142,Fiebich,NYL,14,407.8,reconstructed,102,137.6,103.1,10.114,per40min,9.207,9.24,TRUE,fringe
1627701,Fagbenle,TOR,8,142.9,reconstructed,39,54.3,41.9,11.725,per40min,9.207,9,FALSE,below threshold
1630134,Sutton,PDX,12,153.2,reconstructed,52,69.3,43.3,11.303,per40min,9.207,8.03,FALSE,below threshold
1643453,Vanslooten,SEA,13,71.8,reconstructed,11,17.5,24.2,13.483,per40min,9.207,7.67,FALSE,below threshold
1642786,Coulibaly,CHI,13,174.8,reconstructed,48,71.5,47.8,10.94,per40min,9.207,7.57,FALSE,below threshold
1643494,Buhner,PDX,22,320.8,reconstructed,105,135.8,81.1,10.113,per40min,9.207,7.26,TRUE,fringe
1631064,Bibby,CHI,1,19.4,reconstructed,11,11.9,11,22.661,per40min,9.207,6.53,FALSE,below threshold
1630446,Onyenwere,WAS,19,488.6,reconstructed,141,200.1,118.5,9.701,per40min,9.207,6.03,TRUE,fringe
1643441,Beers,CON,19,201,reconstructed,46,73.9,52.2,10.39,per40min,9.207,5.94,FALSE,below threshold
1629478,Samuelson,SEA,20,313.6,reconstructed,66,81.5,77.4,9.873,per40min,9.207,5.21,FALSE,below threshold
1641650,Jones,PDX,5,56.6,reconstructed,17,26.5,17.3,12.226,per40min,9.207,4.27,FALSE,below threshold
203824,Sims,DAL,15,220,reconstructed,70,95,54.2,9.853,per40min,9.207,3.55,FALSE,below threshold
1643424,Verona,DAL,1,5.8,reconstructed,2,2,4.8,33.199,per40min,9.207,3.47,FALSE,below threshold
1630384,Carrera,NYL,12,67.8,reconstructed,11,20.4,18.9,11.148,per40min,9.207,3.29,FALSE,below threshold
1629568,Burke,CON,23,539.6,reconstructed,159,218.9,127.4,9.445,per40min,9.207,3.2,TRUE,fringe
1643488,Cechova,MIN,3,51.8,reconstructed,16,23.5,15.1,11.659,per40min,9.207,3.18,FALSE,below threshold
1643490,Hamzova,MIN,10,72.9,reconstructed,14,30,19.8,10.867,per40min,9.207,3.02,FALSE,below threshold
204329,Stokes,GSV,25,553.1,reconstructed,82,101.6,130.3,9.423,per40min,9.207,2.98,FALSE,below threshold
1642820,King,MIN,8,73.4,reconstructed,16,25.4,19.7,10.738,per40min,9.207,2.81,FALSE,below threshold
1630471,Caldwell,MIN,25,345.2,reconstructed,102,124.5,82.2,9.524,per40min,9.207,2.73,TRUE,fringe
1642768,Linskens,PHX,16,165.9,reconstructed,50,67.5,40.8,9.836,per40min,9.207,2.61,FALSE,below threshold
1630154,Smalls,PDX,2,30.2,reconstructed,10,14.4,9.4,12.46,per40min,9.207,2.45,FALSE,below threshold
