season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,clincher,Clincher,CLINCH,Clinched Playoff Berth and Won Commissioner's Cup,CLINCH,clincher,cx,8
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,+3.0,3
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,2,2
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.706,0.7058824
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,losses,Losses,L,Losses,L,losses,16,16
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,3,3
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,+119,119
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,points,Points,PTS,Total Points,PTS,points,4.0,4
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,pointsAgainst,Points Against,PA,Total Points Against,PA,pointsagainst,3474,3474
