season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,918,918
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,DR,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,2696,2696
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,3614,3614
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",1013,1013
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,713,713
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",273,273
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,856,856
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,3137-5842,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,53.7,53.7
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,285-765,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,37.3,37.3
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,1416-1685,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,84.0,84
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,1196,1196
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,DD2,doubleDouble,Double Double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots",123,123
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,TD3,tripleDouble,Triple Double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,1.2,1.2
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,STL/TO,stealTurnoverRatio,Steal To Turnover Ratio,The number of steals per turnover,0.8,0.8
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,1.365,1.365
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.56,0.56
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,TECH,technicalFouls,Technical Fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,12,12
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,FLAG,flagrantFouls,Flagrant Fouls,The number of fouls that the officials thought were unnecessary or excessive.,4,4
