game_id,season,period,clock,team_id,team_tricode,person_id,player_name,action_type,sub_type,shot_result,shot_value,shot_distance,x_legacy,y_legacy,description,score_home,score_away
1022600001,2026,3,PT06M43.00S,1611661323,CON,1642809,Rivers,Made Shot,Pullup Jump shot,Made,2,17,-151,72,Rivers 17' Pullup Jump Shot (5 PTS) (Miller 1 AST),70,48
1022600001,2026,3,PT06M18.00S,1611661323,CON,203398,Griner,Missed Shot,Turnaround Jump Shot,Missed,2,8,-46,61,MISS Griner 8' Turnaround Jump Shot,,
1022600001,2026,3,PT06M11.00S,1611661323,CON,203398,Griner,Made Shot,Floating Jump shot,Made,2,5,54,6,Griner 5' Floating Jump Shot (11 PTS) (Burke 3 AST),70,50
1022600001,2026,3,PT05M31.00S,1611661313,NYL,1627668,Stewart,Made Shot,Turnaround Jump Shot,Made,2,5,-28,44,Stewart 5' Turnaround Jump Shot (25 PTS) (Xu 1 AST),72,50
1022600001,2026,3,PT05M17.00S,1611661313,NYL,1629546,Johannes,Made Shot,Running Pull-Up Jump Shot,Made,3,24,-152,182,Johannes 24' 3PT Running Pull-Up Jump Shot (15 PTS) (Vanloo 6 AST),75,50
1022600001,2026,3,PT04M50.00S,1611661323,CON,1641649,Miller,Made Shot,Driving Finger Roll Layup Shot,Made,2,4,22,31,Miller 4' Driving Finger Roll Layup (15 PTS),75,52
1022600001,2026,3,PT04M19.00S,1611661323,CON,1641649,Miller,Missed Shot,Pullup Jump shot,Missed,3,25,-213,140,MISS Miller 25' 3PT Pullup Jump Shot,,
1022600001,2026,3,PT04M09.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Jump Shot,Missed,3,0,-214,72,MISS Stewart 3PT Jump Shot,,
1022600001,2026,3,PT03M59.00S,1611661323,CON,1641649,Miller,Missed Shot,Driving Finger Roll Layup Shot,Missed,2,5,-40,23,MISS Miller 5' Driving Finger Roll Layup,,
1022600001,2026,3,PT03M47.00S,1611661323,CON,1631135,Nelson-Ododa,Missed Shot,Driving Bank Hook Shot,Missed,2,4,39,20,MISS Nelson-Ododa 4' Driving Bank Hook Shot,,
1022600001,2026,3,PT03M32.00S,1611661323,CON,1642800,Morrow,Made Shot,Jump Shot,Made,3,25,24,248,Morrow 25' 3PT Jump Shot (9 PTS) (Nelson-Ododa 2 AST),76,55
1022600001,2026,3,PT03M14.00S,1611661313,NYL,1627673,Jones,Made Shot,Driving Floating Bank Jump Shot,Made,2,3,28,18,Jones 3' Driving Floating Bank Jump Shot (10 PTS) (Laney-Hamilton 3 AST),78,55
1022600001,2026,3,PT03M04.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Step Back Jump shot,Missed,2,11,-18,110,MISS Leger-Walker 11' Step Back Jump Shot,,
1022600001,2026,3,PT02M48.00S,1611661323,CON,1643449,Leger-Walker,Made Shot,Reverse Layup Shot,Made,2,3,-16,29,Leger-Walker 3' Reverse Layup (4 PTS) (Nelson-Ododa 3 AST),80,57
1022600001,2026,3,PT02M08.00S,1611661323,CON,1641649,Miller,Missed Shot,Pullup Jump shot,Missed,3,0,230,12,MISS Miller 3PT Pullup Jump Shot,,
1022600001,2026,3,PT01M52.00S,1611661313,NYL,204335,Laney-Hamilton,Missed Shot,Jump Shot,Missed,3,24,-234,-37,MISS Laney-Hamilton 24' 3PT Jump Shot,,
1022600001,2026,3,PT01M36.00S,1611661323,CON,1643429,Kneepkens,Missed Shot,Running Pull-Up Jump Shot,Missed,3,24,183,154,MISS Kneepkens 24' 3PT Running Pull-Up Jump Shot,,
1022600001,2026,3,PT01M15.00S,1611661313,NYL,1629566,Han,Missed Shot,Jump Shot,Missed,3,0,-169,160,MISS Xu 3PT Jump Shot,,
1022600001,2026,3,PT01M05.00S,1611661323,CON,1643429,Kneepkens,Made Shot,Pullup Jump shot,Made,2,13,127,22,Kneepkens 13' Pullup Jump Shot (5 PTS) (Van Lith 4 AST),80,60
1022600001,2026,3,PT00M57.50S,1611661313,NYL,203822,Gardner,Made Shot,Driving Layup Shot,Made,2,2,-10,15,Gardner 2' Driving Layup (3 PTS) (Vanloo 7 AST),82,60
1022600001,2026,3,PT00M36.60S,1611661313,NYL,1627668,Stewart,Made Shot,Driving Floating Bank Jump Shot,Made,2,3,29,10,Stewart 3' Driving Floating Bank Jump Shot (28 PTS) (Laney-Hamilton 4 AST),84,60
1022600001,2026,3,PT00M22.60S,1611661323,CON,1643429,Kneepkens,Missed Shot,Jump Shot,Missed,3,27,-167,217,MISS Kneepkens 27' 3PT Jump Shot,,
1022600001,2026,3,PT00M00.00S,1611661323,CON,1643429,Kneepkens,Missed Shot,Pullup Jump shot,Missed,2,18,147,109,MISS Kneepkens 18' Pullup Jump Shot,,
1022600001,2026,4,PT09M23.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Jump Shot,Missed,3,0,-227,-7,MISS Stewart 3PT Jump Shot,,
1022600001,2026,4,PT09M06.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Cutting Layup Shot,Missed,2,5,46,18,MISS Stewart 5' Cutting Layup Shot,,
1022600001,2026,4,PT08M50.00S,1611661323,CON,1642817,Van Lith,Made Shot,Pullup Jump shot,Made,2,13,-5,129,Van Lith 13' Pullup Jump Shot (7 PTS),87,62
1022600001,2026,4,PT08M33.00S,1611661313,NYL,204335,Laney-Hamilton,Missed Shot,Jump Shot,Missed,3,24,239,22,MISS Laney-Hamilton 24' 3PT Jump Shot,,
1022600001,2026,4,PT08M24.00S,1611661313,NYL,1629546,Johannes,Missed Shot,Running Pull-Up Jump Shot,Missed,2,22,153,159,MISS Johannes 22' Running Pull-Up Jump Shot,,
1022600001,2026,4,PT08M11.00S,1611661313,NYL,1629546,Johannes,Made Shot,Jump Shot,Made,2,21,-209,-6,Johannes 21' Jump Shot (17 PTS) (Stewart 2 AST),89,62
1022600001,2026,4,PT07M57.00S,1611661323,CON,1642817,Van Lith,Made Shot,Pullup Jump shot,Made,2,16,-20,159,Van Lith 16' Pullup Jump Shot (9 PTS),89,64
1022600001,2026,4,PT07M37.00S,1611661313,NYL,1629566,Han,Missed Shot,Turnaround Jump Shot,Missed,2,12,-116,0,MISS Xu 12' Turnaround Jump Shot,,
1022600001,2026,4,PT07M19.00S,1611661323,CON,1642817,Van Lith,Missed Shot,Pullup Jump shot,Missed,2,10,35,89,MISS Van Lith 10' Pullup Jump Shot,,
1022600001,2026,4,PT07M17.00S,1611661313,NYL,1629546,Johannes,Missed Shot,Running Finger Roll Layup Shot,Missed,2,3,21,17,MISS Johannes 3' Running Finger Roll Layup,,
1022600001,2026,4,PT07M16.00S,1611661313,NYL,1627668,Stewart,Missed Shot,Tip Layup Shot,Missed,2,1,0,-6,MISS Stewart 1' Tip Layup Shot,,
1022600001,2026,4,PT07M04.00S,1611661323,CON,1642817,Van Lith,Missed Shot,Jump Shot,Missed,3,0,228,23,MISS Van Lith 3PT Jump Shot,,
1022600001,2026,4,PT06M50.00S,1611661313,NYL,1627673,Jones,Missed Shot,Jump Shot,Missed,3,0,-227,-22,MISS Jones 3PT Jump Shot,,
1022600001,2026,4,PT06M38.00S,1611661323,CON,1643429,Kneepkens,Made Shot,Step Back Jump shot,Made,2,9,-32,86,Kneepkens 9' Step Back Jump Shot (7 PTS) (Rivers 6 AST),89,66
1022600001,2026,4,PT06M12.00S,1611661323,CON,203398,Griner,Missed Shot,Jump Shot,Missed,3,26,105,233,MISS Griner 26' 3PT Jump Shot,,
1022600001,2026,4,PT05M59.00S,1611661313,NYL,203822,Gardner,Missed Shot,Driving Finger Roll Layup Shot,Missed,2,4,40,16,MISS Gardner 4' Driving Finger Roll Layup,,
1022600001,2026,4,PT05M48.00S,1611661323,CON,1642800,Morrow,Missed Shot,Jump Shot,Missed,3,27,129,234,MISS Morrow 27' 3PT Jump Shot,,
1022600001,2026,4,PT05M31.00S,1611661313,NYL,1627673,Jones,Missed Shot,Jump Shot,Missed,3,24,196,139,MISS Jones 24' 3PT Jump Shot,,
1022600001,2026,4,PT05M13.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Jump Shot,Missed,3,27,107,243,MISS Leger-Walker 27' 3PT Jump Shot,,
1022600001,2026,4,PT04M57.00S,1611661313,NYL,1629566,Han,Made Shot,Jump Shot,Made,3,24,-27,235,Xu 24' 3PT Jump Shot (5 PTS) (Vanloo 8 AST),94,66
1022600001,2026,4,PT04M30.00S,1611661323,CON,1641649,Miller,Missed Shot,Jump Shot,Missed,3,28,-116,258,MISS Miller 28' 3PT Jump Shot,,
1022600001,2026,4,PT04M15.00S,1611661313,NYL,203822,Gardner,Made Shot,Cutting Layup Shot,Made,2,3,29,16,Gardner 3' Cutting Layup Shot (7 PTS) (Vanloo 9 AST),96,66
1022600001,2026,4,PT04M03.00S,1611661323,CON,1642809,Rivers,Missed Shot,Pullup Jump shot,Missed,3,25,-77,240,MISS Rivers 25' 3PT Pullup Jump Shot,,
1022600001,2026,4,PT03M47.00S,1611661313,NYL,1642210,Vanloo,Made Shot,Pullup Jump shot,Made,3,26,185,188,Vanloo 26' 3PT Pullup Jump Shot (12 PTS),99,66
1022600001,2026,4,PT03M35.00S,1611661323,CON,1643449,Leger-Walker,Missed Shot,Driving Floating Jump Shot,Missed,2,5,-26,41,MISS Leger-Walker 5' Driving Floating Jump Shot,,
1022600001,2026,4,PT03M31.00S,1611661323,CON,203398,Griner,Made Shot,Hook Bank Shot,Made,2,3,6,29,Griner 3' Hook Bank Shot (13 PTS),99,68
1022600001,2026,4,PT02M50.00S,1611661313,NYL,1642210,Vanloo,Missed Shot,Jump Shot,Missed,3,24,-197,139,MISS Vanloo 24' 3PT Jump Shot,,
1022600001,2026,4,PT02M40.00S,1611661323,CON,1629568,Burke,Missed Shot,Driving Layup Shot,Missed,2,5,-38,29,MISS Burke 5' Driving Layup,,
1022600001,2026,4,PT02M38.00S,1611661323,CON,1629568,Burke,Missed Shot,Tip Layup Shot,Missed,2,1,0,-6,MISS Burke 1' Tip Layup Shot,,
1022600001,2026,4,PT02M36.00S,1611661323,CON,1642800,Morrow,Missed Shot,Putback Layup Shot,Missed,2,4,-40,13,MISS Morrow 4' Putback Layup,,
1022600001,2026,4,PT02M11.00S,1611661323,CON,1629568,Burke,Missed Shot,Pullup Jump shot,Missed,2,18,125,129,MISS Burke 18' Pullup Jump Shot,,
1022600001,2026,4,PT02M05.00S,1611661323,CON,1641649,Miller,Missed Shot,Putback Layup Shot,Missed,2,4,30,33,MISS Miller 4' Putback Layup,,
1022600001,2026,4,PT02M00.00S,1611661323,CON,1642800,Morrow,Made Shot,Putback Layup Shot,Made,2,5,-38,36,Morrow 5' Putback Layup (11 PTS),99,71
1022600001,2026,4,PT01M35.00S,1611661323,CON,1642800,Morrow,Made Shot,Step Back Jump shot,Made,2,16,-112,116,Morrow 16' Step Back Jump Shot (13 PTS),99,73
1022600001,2026,4,PT01M26.00S,1611661313,NYL,1629566,Han,Made Shot,Jump Shot,Made,3,0,56,222,Xu 3PT Jump Shot (8 PTS) (Vanloo 10 AST),102,73
